Image1,Image2,Method,Layer,Similarity
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv1_1,0.938262
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv1_2,0.981825
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv2_1,0.990040
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv2_2,0.990467
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv3_1,0.979406
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv3_2,0.975479
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv3_3,0.971210
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv3_4,0.988312
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv4_1,0.972307
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv4_2,0.965424
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv4_3,0.950132
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv4_4,0.980438
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv5_1,0.923773
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv5_2,0.932329
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv5_3,0.941012
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,gram,conv5_4,0.962556
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv1_1,0.455809
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv1_2,0.187384
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv2_1,0.186398
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv2_2,0.226555
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv3_1,0.303484
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv3_2,0.288487
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv3_3,0.283736
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv3_4,0.468578
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv4_1,0.521727
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv4_2,0.541222
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv4_3,0.542882
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv4_4,0.683096
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv5_1,0.581379
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv5_2,0.671210
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv5_3,0.724511
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,conv,conv5_4,0.810106
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,fc,fc1,0.714779
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,fc,fc2,0.774060
antoine-blanchard_boulevard-de-la-madeleine-2_hsv_hue,antoine-blanchard_boulevard-de-la-madeleine-9_hsv_hue,fc,fc3,0.322405
